"","Origin","Destination","Total","Walk","Bike","Car","PTransit","Other","Active"
"1","Alcochete","Alcochete",20478,6833,320,12484,833,7,7153
"2","Alcochete","Almada",567,0,0,353,0,214,0
"3","Alcochete","Amadora",188,0,0,107,81,0,0
"4","Alcochete","Barreiro",867,0,0,861,5,0,0
"5","Alcochete","Cascais",114,0,0,114,0,0,0
"6","Alcochete","Lisboa",2840,69,0,1994,775,0,69
"7","Alcochete","Loures",634,0,0,634,0,0,0
"8","Alcochete","Moita",261,0,0,256,5,0,0
"9","Alcochete","Montijo",8714,130,91,7062,1431,0,221
"10","Alcochete","Odivelas",129,0,0,129,0,0,0
"11","Alcochete","Oeiras",130,0,0,130,0,0,0
"12","Alcochete","Palmela",553,11,0,299,243,0,11
"13","Alcochete","Seixal",118,0,0,58,0,60,0
"14","Alcochete","Sesimbra",79,0,0,79,0,0,0
"15","Alcochete","Setúbal",453,0,0,296,157,0,0
"16","Alcochete","Sintra",573,0,0,524,25,24,0
"17","Alcochete","Vila Franca de Xira",91,0,0,91,0,0,0
"18","Almada","Alcochete",761,0,0,498,49,214,0
"19","Almada","Almada",197248,60007,257,106852,27342,2791,60264
"20","Almada","Amadora",1726,0,0,1331,393,0,0
"21","Almada","Barreiro",1993,0,0,1972,21,0,0
"22","Almada","Cascais",765,0,2,647,116,0,2
"23","Almada","Lisboa",37180,370,218,23131,12322,1145,588
"24","Almada","Loures",1369,0,19,876,475,0,19
"25","Almada","Mafra",15,0,0,15,0,0,0
"26","Almada","Moita",464,0,0,225,239,0,0
"27","Almada","Montijo",848,0,0,738,110,0,0
"28","Almada","Odivelas",1133,0,0,1075,58,0,0
"29","Almada","Oeiras",1854,0,0,1372,428,53,0
"30","Almada","Palmela",538,0,0,511,21,6,0
"31","Almada","Seixal",36018,3005,65,28500,3811,639,3070
"32","Almada","Sesimbra",2957,0,0,2611,216,130,0
"33","Almada","Setúbal",2920,0,0,2528,283,110,0
"34","Almada","Sintra",1278,0,0,536,731,12,0
"35","Almada","Vila Franca de Xira",767,0,0,685,72,10,0
"36","Amadora","Alcochete",190,0,0,108,81,0,0
"37","Amadora","Almada",3207,0,0,2810,396,0,0
"38","Amadora","Amadora",198980,108622,0,76436,13723,200,108622
"39","Amadora","Barreiro",212,0,0,141,71,0,0
"40","Amadora","Cascais",3079,0,0,2957,113,9,0
"41","Amadora","Lisboa",67532,2339,103,40353,24353,381,2442
"42","Amadora","Loures",6079,0,0,5334,489,258,0
"43","Amadora","Mafra",517,0,0,488,28,0,0
"44","Amadora","Moita",16,0,0,16,0,0,0
"45","Amadora","Montijo",365,0,0,365,0,0,0
"46","Amadora","Odivelas",11166,1120,0,8415,1630,0,1120
"47","Amadora","Oeiras",15385,768,516,11308,2757,35,1284
"48","Amadora","Palmela",131,0,0,131,0,0,0
"49","Amadora","Seixal",2592,0,0,1950,642,0,0
"50","Amadora","Sesimbra",192,0,0,104,88,0,0
"51","Amadora","Setúbal",893,0,0,893,0,0,0
"52","Amadora","Sintra",32926,3069,36,23667,5818,332,3105
"53","Amadora","Vila Franca de Xira",1090,270,0,728,27,65,270
"54","Barreiro","Alcochete",855,0,0,849,5,0,0
"55","Barreiro","Almada",1956,0,0,1639,317,0,0
"56","Barreiro","Amadora",506,0,0,165,341,0,0
"57","Barreiro","Barreiro",87630,32460,351,48667,5877,276,32811
"58","Barreiro","Cascais",35,0,0,0,35,0,0
"59","Barreiro","Lisboa",10637,23,0,2674,7898,40,23
"60","Barreiro","Loures",106,0,0,81,5,20,0
"61","Barreiro","Moita",14990,2385,124,10847,1634,0,2509
"62","Barreiro","Montijo",1973,0,0,1937,37,0,0
"63","Barreiro","Odivelas",81,0,0,81,0,0,0
"64","Barreiro","Oeiras",601,0,0,467,134,0,0
"65","Barreiro","Palmela",4658,0,0,3904,754,0,0
"66","Barreiro","Seixal",2670,0,0,2483,186,0,0
"67","Barreiro","Sesimbra",3800,62,0,3566,172,0,62
"68","Barreiro","Setúbal",2118,0,0,1817,208,91,0
"69","Barreiro","Sintra",923,0,0,923,0,0,0
"70","Barreiro","Vila Franca de Xira",119,0,0,63,56,0,0
"71","Cascais","Alcochete",114,0,0,114,0,0,0
"72","Cascais","Almada",932,0,0,877,55,0,0
"73","Cascais","Amadora",4021,0,0,3899,113,9,0
"74","Cascais","Barreiro",35,0,0,0,35,0,0
"75","Cascais","Cascais",268462,63849,5362,180633,17365,1252,69211
"76","Cascais","Lisboa",35698,38,13,25985,9202,458,51
"77","Cascais","Loures",2039,0,0,1997,42,0,0
"78","Cascais","Mafra",976,0,0,976,0,0,0
"79","Cascais","Moita",178,0,0,178,0,0,0
"80","Cascais","Montijo",752,0,0,565,187,0,0
"81","Cascais","Odivelas",3086,0,0,3086,0,0,0
"82","Cascais","Oeiras",32698,970,401,28587,2642,99,1371
"83","Cascais","Palmela",299,0,0,299,0,0,0
"84","Cascais","Seixal",1373,0,0,1006,354,12,0
"85","Cascais","Sesimbra",83,0,0,83,0,0,0
"86","Cascais","Setúbal",834,0,0,591,232,11,0
